Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C9",C0402,4,1uF,
"C10, C11, C15, C4, C5, C6, C7, C8",C0402,8,100NF,
"C12, C13",C0402,2,12PF,
C14,C0402,1,2.2uF,
D1,LED0402-RD,1,BL-HB337A-AV-TRB,
D2,LED0402-RD,1,BL-HUB37A-AV-TRB,
J1,503398-1892_MOL,1,5033981892,
J2,USB-C-SMD_TYPE-C-16P-CB0.8-073,1,USB_C_Receptacle_USB2.0_16P,
J3,NDS_CARD,1,NDS_CARDA,
J4,EP_DEV_PORT,1,DSPICO-DEV-PORT,
"Q1, Q2",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,2,SI2307CDS-T1-E3,
Q3,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,2N7002KQ-7,
"R1, R2",R0402,2,100K,
"R10, R11",R0402,2,RC0402FR-0727RL,
R12,R0402,1,120R,
R13,R0402,1,220R,
"R14, R15",R0402,2,1K,
"R16, R17",R0402,2,5.1K,
"R3, R4, R5, R6, R7, R8, R9",R0402,7,10K,
S1,KEY-SMD_SKTDLDE010,1,SKTDLDE010,
U1,SOT95P285X140-5N,1,AP2112K-3.3TRG1,
U2,QFN40P700X700X90-57N,1,RP2040,
U3,SON50P300X200X60-9N,1,W25Q16JVUXIQ,
X1,OSC-SMD_4P-L2.5-W2.0-BL,1,XYDBPCNANF-12MHZ,
